"filename", "language", "Dart", "Swift", "JSON", "XML", "Markdown", "YAML", "C++", "CMake", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"e:\new\bekam\lib\presentation\screens\home_page\home_page.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 58
"e:\new\bekam\lib\presentation\screens\on_boarding\onboarding.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 90
"e:\new\bekam\lib\presentation\screens\order\order_page.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\new\bekam\lib\presentation\screens\register\login\login_page.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 102
"e:\new\bekam\lib\presentation\screens\register\password_recovery\password_recovery.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 73
"e:\new\bekam\lib\presentation\screens\register\signup\signup_page.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 94
"e:\new\bekam\lib\presentation\widgets\home_nav\animated_nav_bart\animated_nav_bar.dart", "Dart", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 37, 206
"e:\new\bekam\lib\presentation\widgets\home_nav\animated_nav_bart\animated_nav_bar_base_btn.dart", "Dart", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 225
"e:\new\bekam\lib\presentation\widgets\home_nav\animated_nav_bart\animated_nav_bar_btn.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 121
"e:\new\bekam\lib\presentation\widgets\home_nav\home_nav_bar.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 79
"e:\new\bekam\lib\presentation\widgets\home_page\banner\banner_item.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"e:\new\bekam\lib\presentation\widgets\home_page\banner\home_banner_container.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\base_home_page_container.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"e:\new\bekam\lib\presentation\widgets\home_page\category\category_item.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
"e:\new\bekam\lib\presentation\widgets\home_page\category\home_category_container.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66
"e:\new\bekam\lib\presentation\widgets\home_page\nearby_stores\home_nearby_stores_container.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"e:\new\bekam\lib\presentation\widgets\home_page\nearby_stores\store_item.dart", "Dart", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 98
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\home_latest_product_container.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\home_popular_items_container.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\poduct_rate.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\product_item.dart", "Dart", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 136
"e:\new\bekam\lib\presentation\widgets\home_page\search\home_page_search_top_bar.dart", "Dart", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 138
"e:\new\bekam\lib\presentation\widgets\home_page\set_menu\home_set_menu_container.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66
"e:\new\bekam\lib\presentation\widgets\home_page\set_menu\set_menu_item.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 73
