"filename", "language", "Swift", "XML", "YAML", "Dart", "CMake", "C++", "JSON", "comment", "blank", "total"
"e:\new\bekam\lib\core\utils\icons.dart", "Dart", 0, 0, 0, -10, 0, 0, 0, 0, 1, -9
"e:\new\bekam\lib\core\utils\images.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 16, 16, 54
"e:\new\bekam\lib\core\utils\radius.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 16, 12, 36
"e:\new\bekam\lib\core\utils\size_utils.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 14, 10, 53
"e:\new\bekam\lib\core\utils\sizes.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"e:\new\bekam\lib\core\utils\strings.dart", "Dart", 0, 0, 0, -33, 0, 0, 0, -2, -7, -42
"e:\new\bekam\lib\core\utils\styles.dart", "Dart", 0, 0, 0, 121, 0, 0, 0, 0, -4, 117
"e:\new\bekam\lib\data\business_logic\banner\banner_get_cubit.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 14, 6, 37
"e:\new\bekam\lib\data\business_logic\banner\banner_get_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 9, 7, 27
"e:\new\bekam\lib\data\business_logic\banner\banner_get_state.freezed.dart", "Dart", 0, 0, 0, 520, 0, 0, 0, 24, 75, 619
"e:\new\bekam\lib\data\business_logic\category\category_get_cubit.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 14, 6, 37
"e:\new\bekam\lib\data\business_logic\category\category_get_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 9, 7, 27
"e:\new\bekam\lib\data\business_logic\category\category_get_state.freezed.dart", "Dart", 0, 0, 0, 520, 0, 0, 0, 24, 75, 619
"e:\new\bekam\lib\data\business_logic\latest_product\latest_product_get_cubit.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 14, 6, 39
"e:\new\bekam\lib\data\business_logic\latest_product\latest_product_get_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 9, 7, 27
"e:\new\bekam\lib\data\business_logic\latest_product\latest_product_get_state.freezed.dart", "Dart", 0, 0, 0, 521, 0, 0, 0, 24, 75, 620
"e:\new\bekam\lib\data\business_logic\onboarding\onboarding_vm.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 6, 4, 33
"e:\new\bekam\lib\data\business_logic\popular_product\popular_product_get.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 14, 6, 42
"e:\new\bekam\lib\data\business_logic\popular_product\popular_product_get_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 9, 7, 27
"e:\new\bekam\lib\data\business_logic\popular_product\popular_product_get_state.freezed.dart", "Dart", 0, 0, 0, 521, 0, 0, 0, 24, 75, 620
"e:\new\bekam\lib\data\business_logic\set_menu\set_menu_get_cubit.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 14, 5, 36
"e:\new\bekam\lib\data\business_logic\set_menu\set_menu_get_state.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 9, 7, 27
"e:\new\bekam\lib\data\business_logic\set_menu\set_menu_get_state.freezed.dart", "Dart", 0, 0, 0, 520, 0, 0, 0, 24, 75, 619
"e:\new\bekam\lib\data\business_logic\theme\theme_cubit.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 11, 12, 48
"e:\new\bekam\lib\data\business_logic\theme\theme_state.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 4, 4, 14
"e:\new\bekam\lib\data\cubit\forget_pass_cubit.dart", "Dart", 0, 0, 0, -45, 0, 0, 0, -10, -12, -67
"e:\new\bekam\lib\data\cubit\forget_pass_state.dart", "Dart", 0, 0, 0, -6, 0, 0, 0, 0, -3, -9
"e:\new\bekam\lib\data\cubit\login_cubit_cubit.dart", "Dart", 0, 0, 0, -135, 0, 0, 0, -33, -28, -196
"e:\new\bekam\lib\data\cubit\login_cubit_state.dart", "Dart", 0, 0, 0, -7, 0, 0, 0, 0, -5, -12
"e:\new\bekam\lib\data\cubit\logout_cubit.dart", "Dart", 0, 0, 0, -26, 0, 0, 0, -16, -7, -49
"e:\new\bekam\lib\data\cubit\logout_state.dart", "Dart", 0, 0, 0, -4, 0, 0, 0, 0, -2, -6
"e:\new\bekam\lib\data\cubit\product_search_cubit.dart", "Dart", 0, 0, 0, -19, 0, 0, 0, 0, -4, -23
"e:\new\bekam\lib\data\cubit\product_search_state.dart", "Dart", 0, 0, 0, -11, 0, 0, 0, -8, -17, -36
"e:\new\bekam\lib\data\cubit\product_search_state.freezed.dart", "Dart", 0, 0, 0, -516, 0, 0, 0, -24, -75, -615
"e:\new\bekam\lib\data\cubit\providers\auth_provider.dart", "Dart", 0, 0, 0, -70, 0, 0, 0, -58, -21, -149
"e:\new\bekam\lib\data\cubit\providers\validators.dart", "Dart", 0, 0, 0, -24, 0, 0, 0, -6, -11, -41
"e:\new\bekam\lib\data\cubit\registeration_type_dart_cubit.dart", "Dart", 0, 0, 0, -15, 0, 0, 0, -8, -9, -32
"e:\new\bekam\lib\data\cubit\registeration_type_dart_state.dart", "Dart", 0, 0, 0, -5, 0, 0, 0, 0, -3, -8
